Date,Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
1997-09-09,0.161979,0.15,0.125,0.127604,0.116667,0.117708,0.116927,0.11875
1997-09-10,0.165104,0.161979,0.15,0.125,0.127604,0.116667,0.117708,0.116927
1997-09-11,0.157813,0.165104,0.161979,0.15,0.125,0.127604,0.116667,0.117708
1997-09-12,0.184375,0.157813,0.165104,0.161979,0.15,0.125,0.127604,0.116667
1997-09-15,0.154688,0.184375,0.157813,0.165104,0.161979,0.15,0.125,0.127604
1997-09-16,0.167708,0.154688,0.184375,0.157813,0.165104,0.161979,0.15,0.125
1997-09-17,0.170313,0.167708,0.154688,0.184375,0.157813,0.165104,0.161979,0.15
1997-09-18,0.164583,0.170313,0.167708,0.154688,0.184375,0.157813,0.165104,0.161979
1997-09-19,0.197396,0.164583,0.170313,0.167708,0.154688,0.184375,0.157813,0.165104
1997-09-22,0.225,0.197396,0.164583,0.170313,0.167708,0.154688,0.184375,0.157813
1997-09-23,0.23125,0.225,0.197396,0.164583,0.170313,0.167708,0.154688,0.184375
1997-09-24,0.21875,0.23125,0.225,0.197396,0.164583,0.170313,0.167708,0.154688
1997-09-25,0.203906,0.21875,0.23125,0.225,0.197396,0.164583,0.170313,0.167708
1997-09-26,0.208333,0.203906,0.21875,0.23125,0.225,0.197396,0.164583,0.170313
1997-09-29,0.202083,0.208333,0.203906,0.21875,0.23125,0.225,0.197396,0.164583
1997-09-30,0.216927,0.202083,0.208333,0.203906,0.21875,0.23125,0.225,0.197396
1997-10-01,0.201042,0.216927,0.202083,0.208333,0.203906,0.21875,0.23125,0.225
1997-10-02,0.200521,0.201042,0.216927,0.202083,0.208333,0.203906,0.21875,0.23125
1997-10-03,0.200781,0.200521,0.201042,0.216927,0.202083,0.208333,0.203906,0.21875
1997-10-06,0.20625,0.200781,0.200521,0.201042,0.216927,0.202083,0.208333,0.203906
1997-10-07,0.202865,0.20625,0.200781,0.200521,0.201042,0.216927,0.202083,0.208333
1997-10-08,0.20026,0.202865,0.20625,0.200781,0.200521,0.201042,0.216927,0.202083
1997-10-09,0.1875,0.20026,0.202865,0.20625,0.200781,0.200521,0.201042,0.216927
1997-10-10,0.195052,0.1875,0.20026,0.202865,0.20625,0.200781,0.200521,0.201042
1997-10-13,0.2,0.195052,0.1875,0.20026,0.202865,0.20625,0.200781,0.200521
1997-10-14,0.198958,0.2,0.195052,0.1875,0.20026,0.202865,0.20625,0.200781
1997-10-15,0.196094,0.198958,0.2,0.195052,0.1875,0.20026,0.202865,0.20625
1997-10-16,0.18125,0.196094,0.198958,0.2,0.195052,0.1875,0.20026,0.202865
1997-10-17,0.18125,0.18125,0.196094,0.198958,0.2,0.195052,0.1875,0.20026
1997-10-20,0.191146,0.18125,0.18125,0.196094,0.198958,0.2,0.195052,0.1875
1997-10-21,0.221354,0.191146,0.18125,0.18125,0.196094,0.198958,0.2,0.195052
1997-10-22,0.226042,0.221354,0.191146,0.18125,0.18125,0.196094,0.198958,0.2
